image,message
12.jpg,"До 26.06 бекон Дымов🥓, 200г (3445554) со скидкой 56% за 129,99₽ с картой**0082 в Перекрёстке: ул. 30 лет Победы, 46"
13.jpg,Быстро деньги? Выбирайте на портале займов clck.ru/sR4os
14.jpg,В ЕвроОбувь скидки до -50%на Рикер и Ремонте!Успейте до повышение цен!
15.jpg,"Найдите в SUNLIGHT идеальный подарок для нее! Золотое 💍 с 55 бриллиантами за 9990р! Скидки на все золото до -80%! https://lvsl.ru/lsv ООО ""Солнечный свет"" ОГРН 1167746485940 г. Москва, ул. Герасима Курина, 10к1 (18+)"
16.jpg,Увеличим ваше пополнение бонусом 3000₸ ⭐ pmbet.cc/BP0S2D8v
17.jpg,"Здравствуйте.  Коллеги из МегаФона поделились промокодом на смартфоны Xiaomi! Выберите свой: - Xiaomi Redmi 10 (2022) 4/64 ГБ со скидкой 3000 рублей  - Xiaomi Redmi 10C 4/64 ГБ со скидкой 2500 рублей  - Xiaomi Redmi 12 4/128 ГБ со скидкой 2000 рублей   Чтобы воспользоваться предложением, укажите промокод GYXM2CUMYP при покупке одного из смартфонов в МегаФоне до 31.07.2023.  Подробнее: www.megafon.ru/go/xmi_12j  Можно. Yota"
18.jpg,-20% на МЯСО и -40% на СКОВОРОДЫ 29-30.06 в Гипер Ленте lenta.com/yGWC
19.jpg,-50% на ИГРУШКИ И ПОДГУЗНИКИ 16.12 Есть ограничения lenta.com/8No1
20.png,Теннис в Женеве! Фрибет уже ждет тебя: i.pari.ru/t01
21.jpg,"Открытие BohoRoom, дарим 500р UDS на покупку! Форум 2эт. 89021609780"
22.jpg,До 400 бонусов СберСпасибо за заказ из любого магазина от 1490₽ с промокодом bn29yr14ir. Только до 30.06!
23.jpg,"Тополиный пух, жара, июль☀️: 2.000р сегодня и 100.000р в субботу можешь выиграть именно ты! Присоединяйся➠https://toloto.by"
24.jpg,🤩 -30% на Уход для Лица до 15/02! Код: ЛИЦО Детали в бутике
25.jpg,Спецпредложение еКапуста - скидка 15%! Возьмите займ до 31.07.2023 и получите скидку 15%! Для этого укажите промокод: RVEG
26.jpg,Вы Пакет забыли! В 10 раз больше баллов в Пятёрочке и Перекрёстке и другие привилегии! Подключайтесь за 1₽ с промо CRM76 (до 31.07) clc.to/g20JF
27.jpg,"3=2 на ТИХИЕ ВИНА, ВОДКУ, БРЕНДИ по вашей карте 16.06 lenta.com/ZiXW"
28.jpg,"Вячеслав, скидки до 50%! Участвуйте в РАСПРОДАЖЕ Hoff до 31.07 l.hoff.ru/nUfs8"
29.jpg,До 9.07 дарим кешбэк 300р за чек от 800р! Кешбэк действ. 10.07-16.07
30.jpg,Финальная распродажа! ЛЕТО цены ПОПОЛАМ! Francesco.ru
31.png,"-30% на всё ко Дню России до 12.06.23 в KARI Обувь,детство,спорт"
32.jpg,МЯУ 🐱 В ЛЭТУАЛЬ черная пятница ЛЕТОМ! Скидки до 80%! 🐈 letu.ru/jp
33.jpg,"Елена Валерьевна, для вас особые условия по кредиту - 2 450 000 р. под 9.4% с финансовой защитой на 60 мес. Подайте заявку в любом офисе Газпромбанка. Подробнее: s.gpb.ru/m/JDuem Банк ГПБ (АО). Не оферта"
34.jpg,"-25% на уходовую косметику и макияж в ""Подружке"" до 09.07. Код:2924116 https://m.mrktlg.com/f-mP-3nt8X  ООО «Табер Трейд», ОГРН 1037739861851, 115280, г. Москва, ул. Ленинская Слобода, д.19, комн. 21В"
35.jpg,Первомай наступает! Покажи смс и получи скидку 20% до 1.05! Лавка Орка
36.png,Деньги на карту за 5 минут! Получите нужную сумму без залога! Успейте: https://m .mrktlg.com/w fsXciOLX
37.jpg,"Скидка 30% на 1-й заказ в СберМаркете от 1500р. Код ""RST"" до 30.06.23 https://m.mrktlg.com/ydKtPCtxLX/SBERMARKET  ООО ""Инстамарт Сервис"", г. Москва, Садовническая ул, д. 9а, этаж/помещ./ком. 5/I/1, ОГРН 1187746494980 6+"
38.jpg,Раскрасьте своё лето! Более 469 млн в Спортлото 4из20 stolo.to/420
39.jpg,Сегодня распределим всё! Участвуйте в розыгрыше Топ-3 stolo.to/top3
40.jpg,ХАЛВА и ЯНДЕКС GO: До +20% кэшбэка на поездки https://hva.im/2tq8g5
41.jpg,Изи сет! 72 шт всего за 1389 рублей по коду 9932 до 30.06 на farfor.ru
42.jpg,"Скидки до -30% на ВСЕ в НОВОМ kari ТЦ Спар,ул.Октябрьская 91!До 09.04"
43.jpg,Купите на 700 ₽ до 08.07: начислим 700 баллов на 10 дней.
44.jpg,Вам Бонус 65000 руб. Ваш статус ПЛАТИНУМ: netgm.ru/FD.8CN
45.png,Специально для Вас - скидка 3000 рублей на realme 9i!   Просто выберите модель и укажите Ваш промокод GMRV838GVU при покупке смартфона в МегаФоне до 31.07.2023.   Выбрать: www.megafon.ru/go/real_128gb
46.jpg,Лимит до 150 000 руб. только по паспорту — и до 365 дней без % на покупки. Подробнее: https://beel.ink/ahTAW АО Альфа-Банк. Ген. лицензия ЦБ РФ 1326 от 16.01.15. Не оферта
47.jpg,«CRAZY SALE» скидки до 50%+20% на вторую! Francesco.ru
48.jpg,-25% на КОРМА/ЛАКОМСТВА для животных 27.06 Супер Лента lenta.com/Ar9M
49.jpg,Только до 1.07 -75% ДР клуба⚡️ Успей❗️ 84950115443
50.jpg,"Михаил Владимирович, откройте СберВклад Прайм с доходностью до 7,2% годовых с возможностью пополнения. Подробнее: www.sberbank.com/sms/mp  Условия действительны на дату рассылки. А чтобы мы могли улучшить продукты, пройдите, пожалуйста, опрос: https://s.sber.ru/GSBnK  ПАО Сбербанк"
51.jpg,Закрытый WEEKEND для своих -20% + 3 Подарка в заказ
52.jpg,Успей до 2.07 в РИВ ГОШ! Скидки до 50% на 500 марок! rivegch.ch/rvdrc
53.jpg,- 70% на Фитнес с Бассейном! Только до 30.09.2022  Дни открытых дверей в «СССР Марьино»! Подробности: 84951543925 
54.jpg,"Получите кредитную карту МТS CASHBACK с бесплатным обслуживанием и лимитом до 1 млн рублей. Пользуйтесь льготным периодом до 415 дней на покупки в магазинах МТС и до 111 дней на всё остальное: l.mts.ru/1/creditpl ПАО ""МТС-Банк"""
55.jpg,Кешбэк 20% за влаж. корма Whiskas от 150 ₽ до 10.07: lp.5ka.ru/WHb0407
56.jpg,"Мы знаем, кто Вам звонил. Это - ""Русский Стандарт, банк"". Хотите определять незнакомые номера во время звонка? Включите услугу ""Знаю, кто звонит Plus"" за 99 руб./месяц. Наберите: *963*2# или отправьте 2 в ответ на это SMS.  Узнайте, кто вам звонил с незнакомого номера, поставьте ему рейтинг, почитайте комментарии других пользователей и оставьте свой на портале услуги: https://zkz.megafon.ru/"
57.jpg,"Дорогой сосед,  2 июля приглашаем на открытие обновленного супермаркета «Анвар» по ул. Алматы 5.  Ждем вас и ваших друзей. Приходите и получите свой гарантированный подарок!"
58.jpg,"Мы скучаем! До 31.07 дарим скидку -25%, до 12:00 -30% podrygka.ru/s"
59.jpg,С Днём Рождения! Дарим скидку 10% на следующий заем. Ваш промокод HBDAY lmzm.cc/Nm
60.jpg,"Суперцены на 1000 товаров до 08.03.23! Пирогова 63 и Добрострой.рф ООО ""ЭТК"", ОГРН 1023000836836, г. Астрахань, ул. Свердлова, д. 47"
61.jpg,Мы открылись🥳 Доставка суши и роллов в Царицыно🍣 yobidoyobi.ru
62.jpg,"Только для абонентов Tele2. Арендуйте автомобиль ""Ситидрайв"" всего за 1 руб. Акция распространяется на поездки стоимостью до 600 руб. и действует до 31.08.23. Подробнее – в программе ""Больше"": l.tele2.ru/b81RJ"
63.jpg,"До 03.7 Пицца ПЕПЕРОНИ 499, Томаты Махитос 159,9 ул.Токарева 15"
64.jpg,"iPhone 14 с БЕЗЛИМИТНЫМ интернетом на год и экономией на тарифе от 37 500 тенге в месяц. Смартфон+тариф в Kcell|activ store  - это выгоднее, чем просто рассрочка! Приобрести можно здесь: https://i.activ.kz/iphone14 или по адресу г. Кокшетау, ул. Акан Серы, 91, магазин Kcell/activ"
65.jpg,"Выгодная подписка от Перекрёстка! Кешбэк до 10% на все покупки, доп. выгоды на выпечку и кулинарию, бонусы от партнёров: clc.to/e5lnP"
66.jpg,"Купи шубку весной и выиграй iPhone, Вам купон-500 руб.,ул.Пушкина 65/2"
67.jpg,"Хочу сделать Вам новый подарок - 14 дней бесплатного доступа в онлайн-кинотеатр START и годовую скидку 35% на продление.   Чтобы забрать подарок, пополните счет от 100 руб. до завтра: просто отправьте мне нужную сумму цифрой в ответном сообщении, это бесплатно.   А если захотите узнать обо мне больше - напишите «Привет»."
68.jpg,Ролл с лососем за 1р. при заказе от 1000р. Вводи 0107 - clck.ru/34tG8k
69.jpg,Быть на связи выгодно! Пополните счет на 200 руб. до 27.05.2023 и получите 100 мин ежемесячно в течение 3 месяцев. Ваш МТС
70.png,Деньги на карту за 5 минут! Получите нужную сумму без залога! Успейте: https://m.mrktlg.com/An7Wwdnt8X
71.jpg,Дарим скидку 1000р при покупке от 5000р до 31.12! Промокод D583AB922D
72.jpg,Первый заём до 30000 руб. под 0% на 30 дней https://wbnkr.ru/vsqW9h6 ООО МФК ВЭББАНКИР
74.jpg,"Вам 60 дней подписки Прайм за 1₽, подключайтесь cutt. y/ aWYAHVDV"
75.jpg,Астана күнiмен! Дарим Вам 17000 бонусов до 10.07.2023 kz.kari.com
76.jpg,УСПЕЙ ПОТРАТИТЬ ВЕСЬ НАЧИСЛЕННЫЙ КЕШБЭК ДО 1.05! С 1.05 НАЧИСЛЕНИЯ ДЕЙСТВУЮТ 30 ДНЕЙ! УСЛОВИЯ - gj.rs/1
77.jpg,Сегодня! Жаркий сет всего 999р 😋 Скидка 14% 🍣 sushiwok.ru/h1v
78.jpg,Успейте купить последние билеты VK Фест. Билеты: www.goo.su/VKFEST23
79.jpg,"Лето – время домашнего интернета! А с тарифом «Лето» от Волны доступно сразу всё: домашний интернет, мобильная связь и более 100 ТВ-каналов всего за 150 руб./мес.! Прокачай своё лето https://clck.ru/34ZiSN"
80.jpg,Cкидка! Год за 127К вместо 250К. У тебя 2 дня: https://rrj.nu/h4AvbNQx
81.jpg,100% скидка на вступ.взнос по 30.06. Успей до повышения! 84951282285
82.jpg,Квартиры с ремонтом и кухней от 23 064р/мес 88432123160 clck.ru/34dvgn
83.jpg,Скидка 500 на первый заказ от 3500 по промокоду 1ST bit.ly/new1ST
84.jpg,До -60% на все детские товары в Магнит Косметик до 3.06 clck.ru/34aDDe
85.jpg,"Бонусы по коду NTXVB-5ZX22 до 09.08 в игре ""Мир танков"". Подробнее: https://m.mrktlg.com/GDg_PhixmX 12+"
86.jpg,"Скидка до 85% в любимых мобильных играх — стартует Google DCB Summer Deals Week 2023! C 29 июня по 6 июля залетайте в PUBG, Roblox, Genshin Impact и другие игры и получайте бонусы. Подробнее: https://bee.gg/e/google_dcb_rus"
87.jpg,"СУПЕРСКИДКИ! ШОРТЫ от 449,МАЙКИ от 199, ПЛАТЬЯ от 349, ДЖИНСЫ от 599!"
88.jpg,Идеальный подарок к 14.02!Золотое кольцо с БРИЛЛИАНТОМ ЯКУТИИ за 9990р
89.jpg,Держи +150% к депозиту в казино 💵 Пополняй счет от 10 BYN и вращай на всю >>> https://go.pm.by/ePHbzwGp
90.jpg,Скидка 600₽ на покупку от 1490₽ с промокодом rao2b0gl7y. Успейте заказать до 17.04. sbermarket://promotion_code/rao2b0gl7y
91.jpg,"НОВАЯ коллекция и СКИДКА 500 рублей в магазине Планета Секонд Хенд (Ивантеевка, Первомайская, 29, пом.1)! Действует 01.07-04.07.23. Подробнее в магазине https://m.mrktlg.com/PtftXCQt8X/PLANETA_SH"
92.jpg,Вам ПОДАРОК-УКРАШЕНИЕ! БЕСПЛАТНО в магазине SUNLIGHT!Код:wq32 до 31.05 https://m.mts.ru/VLhBbDRr2X [18+]
93.jpg,Скидки до 50% на сковороды до 31.03.2023! https://clck.ru/33epDo
94.jpg,⚡Скидка на страхование ипотеки от АО «АльфаСтрахование» через билайн для клиентов ряда банков. Подробнее http://cm.beeline.ru/i/Gakq9YlglfNl6AI0
95.jpg,Две фирменные пиццы 35 см по цене 860 Код 860 timspizza.ru
96.jpg,"СУПЕРСКИДКИ! ШОРТЫ от 449, МАЙКИ от 199, ПЛАТЬЯ от 349, ДЖИНСЫ от 599!"
97.jpg,Удача на твоей стороне🍀3 пиццы=888р Код:maf4008! ekb.pizzamafia.ru/b6
98.jpg,"СУПЕРСКИДКИ! ШОРТЫ от 449, МАЙКИ от 199, ПЛАТЬЯ от 349, ДЖИНСЫ от 599!"
99.jpg,Осталось 2 дня! 35% + 50% товар все меньше.Код 3142.Действуйте!
100.jpg,"Подключен пакет ""KION"" за 0.0 руб./месяц. Смотрите любимые каналы в приложении ""KION"": kion.onelink.me/26fZ/g Посмотреть контент, который входит в подписку: ""Ещё"" - ""Подписки"" - ""Мои"" - ""Подключённая подписка"". Приятного просмотра!"
101.jpg,"Ольга, жаль, что вы ушли из SUNLIGHT без покупок. Дарим персональную скидку на все товары -5% до 27.06 по коду 2760491. Ждем вас!"
102.jpg,⚡ -40% на ВСЕ по коду JUNE до 12/06! https://bit.ly/45RFIir
103.jpg,"Только 4 дня на ВСЁ-10%, 29.06-02.07! Идеи СевМост"
104.jpg,ГАЛАКТИКА поздравляет с Днём защиты Детей!  На все детские товары! СКИДКА -20% С 31 мая по 4 июня!
105.jpg,"Спасибо, что Вы с нами! В честь Дня рождения МТС дарим персональную скидку 15% на смартфоны, гаджеты, телевизоры и устройства ""умного"" дома. Доступна рассрочка до 24 месяцев без первого платежа. Приходите за покупками в салоны МТС и на https://shop.mts.by/21yo Ваш МТС"
106.jpg,Имперские скидки! Только 14 и 15 мая СКИДКА-50% на ВСЁ! Империя сумок
107.jpg,"Для Вас до 20%поСМС а аптеке г.Находка,Находкинский пр-т,д.60,до 12.07"
108.jpg,Активируй свой сертификат на льготное обучение в ММУ. 88007071892
109.jpg,Дарим вам скидку 5% на один заказ www.oz.by/s/h6g4PWHp7Mj6
110.jpg,Майская распродажа на бриллианты до -70% liniilubvi.ru/~zH
111.jpg,Вам 500 бонусов до 28.06! Оплачивайте до 50% покупки. letu.ru/5b6
112.jpg,Выиграйте более 49 млн в лотерее Всё или ничего на stolo.to/1224
113.jpg,мяу в лэтуаль черная пятница Летом!Скидки до 80%
114.png,"Бесплатная кредитная карта «180 дней» без %, снятие наличных до 50 000 руб. в месяц без комиссии. Оформить s.gpb.ru/m/43riIvX7P Банк ГПБ (АО)"
115.jpg,SALE 💥 до -70% на ВСЁ в Золотой Подкове 💍💎 по 28.05! Спешите!
